asin,brand,color,medium_image_url,product_type_name,title,formatted_price
B01HMHARR4,WAYF,Pink,https://images-na.ssl-images-amazon.com/images/I/41TFeLLYQyL._SL160_.jpg,SHIRT,wayf fuchsia womens textured coldshoulder blouse pink xs ,$9.49
B00JKCMR8M,HUE,Hot Coral,https://images-na.ssl-images-amazon.com/images/I/41OdkgAFiNL._SL160_.jpg,SHIRT,hue solid sleep tank macrame straps pj43102 lhot coral ,$14.95
B00WW139KI,Rebellious One,White,https://images-na.ssl-images-amazon.com/images/I/41NCkyVuoBL._SL160_.jpg,SHIRT,rebellious one juniors printed raglansleeve tee  anyone else small ,$16.49
B072F7B6RZ,Sacred Threads,"Colors: Black, White, Bluish Tinge",https://images-na.ssl-images-amazon.com/images/I/51l8q1lz5HL._SL160_.jpg,SHIRT,sacred threads cotton silk lightweight ruffle front xs ,$29.99
B017CNEZPS,Joyci,Champagne,https://images-na.ssl-images-amazon.com/images/I/5138sp62%2BRL._SL160_.jpg,SHIRT,joyci european fashion vintage crystal fake false stand doll collar necklace ,$9.99
B00X6VD1FG,MKP Crop Top,"Black, White, Pink, Red",https://images-na.ssl-images-amazon.com/images/I/515H0h0QqqL._SL160_.jpg,SHIRT,women fashion emoticons princess cute stuffs print white sleeveless crop top ,$3.00
B01H0V4W0A,Love on a Hanger,Mulitcolor,https://images-na.ssl-images-amazon.com/images/I/51Lf2DvSMeL._SL160_.jpg,SHIRT,love hanger womens plus sizetribal inset raglan tee multicolor 1x ,$48.00
B074SCKPJ4,Hybird,Black,https://images-na.ssl-images-amazon.com/images/I/41Qx803LY6L._SL160_.jpg,SHIRT,hybrid womens juniors marvel avengers black white medium ,$17.72
B0752Y5D8B,Maison Jules,Blue,https://images-na.ssl-images-amazon.com/images/I/411I0JeX5eL._SL160_.jpg,SHIRT,maison jules lacetrim top blue 2xl ,$39.00
B06XQQJNY6,Rode,Blue Cashmere,https://images-na.ssl-images-amazon.com/images/I/41i6fER2q2L._SL160_.jpg,SHIRT,ro de sleeveless zip front tail hem tank women blue cashmere size small ,$39.99
B072P6NQ7D,INC International Concepts,Mustard Yellow,https://images-na.ssl-images-amazon.com/images/I/41yEy4yerWL._SL160_.jpg,SHIRT,inc womens plus cotton slub casual top yellow 3x ,$16.97
B01G7WZ5MC,Madison Marcus,Natural,https://images-na.ssl-images-amazon.com/images/I/41jnLZfkScL._SL160_.jpg,SHIRT,madison marcus womens beaded keyhole silk halter tank sz large ,$28.00
B06XCDMW25,tbagslosangeles,Pa,https://images-na.ssl-images-amazon.com/images/I/513ZBa9sJ%2BL._SL160_.jpg,SHIRT,tbagslosangeles womens tie shoulder tank red ,$24.99
B01NBMR4F0,James Perse,Sweet Raisin,https://images-na.ssl-images-amazon.com/images/I/31dHLni5fVL._SL160_.jpg,SHIRT,james perse standard contrast panel button shirt sweet raisin xlarge ,$155.00
B074XLLNSY,Fashion of India,Multi,https://images-na.ssl-images-amazon.com/images/I/51kxCC16MFL._SL160_.jpg,SHIRT,indian vintage pattern cotton women blouse ehs top hippie blusa dress ,$19.89
B071CV31ZT,Ethyl,Assorted Color,https://images-na.ssl-images-amazon.com/images/I/51I3xRq-LyL._SL160_.jpg,SHIRT,ethyl womens long sleep button blouse assorted colors large ,$24.60
B015H2QT28,KINGDE,White,https://images-na.ssl-images-amazon.com/images/I/41o3PylKHCL._SL160_.jpg,SHIRT,kingde slim stretch vest tshirt suspendersbqn40 ,$7.99
B073VTTNQ3,Premise,Heather Graphite,https://images-na.ssl-images-amazon.com/images/I/513Duyd-24L._SL160_.jpg,SHIRT,premise womens size medium long sleeve pullover heather graphite ,$19.99
B074677WX9,Maison Martin Margiela,Ivory,https://images-na.ssl-images-amazon.com/images/I/41w0lwWXuXL._SL160_.jpg,SHIRT,maison martin margiela mm6 womens ivory knitted blouse top us 42 ,$79.99
B01M0AFTK9,Rebellious One,Black,https://images-na.ssl-images-amazon.com/images/I/31i4sW2GBHL._SL160_.jpg,SHIRT,rebellious one black top blouse 34 sleeve size xs nwt  movaz ,$2.02
B074KDFXPK,KpopBaby,Pink,https://images-na.ssl-images-amazon.com/images/I/51EZjZ8ILTL._SL160_.jpg,SHIRT,kpopbaby women female shoulder long sleeve solid casual blouse shirts tops xl ,$8.79
B012XXCGG2,Grace Elements,Navy Blue,https://images-na.ssl-images-amazon.com/images/I/41rRkgYz-CL._SL160_.jpg,SHIRT,grace elements ladies size xlarge lace beaded top navy blue ,$17.99
B0721XQK24,C/MEO,Black,https://images-na.ssl-images-amazon.com/images/I/41WadOkQfJL._SL160_.jpg,SHIRT,cmeo womens collective vivid top black ,$76.99
B071DMPX2T,CBK,Grey,https://images-na.ssl-images-amazon.com/images/I/41t52FVjLML._SL160_.jpg,SHIRT,cbk  tshirt stella  women   grey ,$25.99
B01N5G00X0,H By Bordeaux,Black,https://images-na.ssl-images-amazon.com/images/I/41R83BypuTL._SL160_.jpg,SHIRT,h bordeaux charcoal womens plus vneck blouse black 3x ,$42.27
B00N6G4R1S,April77,Burgundy,https://images-na.ssl-images-amazon.com/images/I/51mIOouJrcL._SL160_.jpg,SHIRT,april sheer floral design ruffled puffed 34 sleeve short junior womens top  ,$12.40
B072PTJJ5Y,BP,Black,https://images-na.ssl-images-amazon.com/images/I/61%2BzLqNlZSL._SL160_.jpg,SHIRT,bp white striped vneck small junior ribbed knit top black ,$8.99
B073HLDDYL,The Workout Princess,Heather Gray,https://images-na.ssl-images-amazon.com/images/I/41DU0FMzquL._SL160_.jpg,SHIRT,harm take shit funny printed tank top workout fitness shirt women ,$22.99
B01MCUVZRT,Joyci,Beige,https://images-na.ssl-images-amazon.com/images/I/51MAmqgCnTL._SL160_.jpg,SHIRT,joyci chic red fake collar half blouse female ol style false collar sweater deocr ,$12.99
B00GTVYQXQ,Under Armour,Blue,https://images-na.ssl-images-amazon.com/images/I/41%2BiEF8cu6L._SL160_.jpg,SHIRT,armour womens ua essential banded tank medium aqueduct ,$49.99
